,user_id,connection_start_datetime,connection_end_datetime,active_hour_int,date_str,day_date,year_num,month_num,week_of_year_num,day_num,day_of_week,day_of_week_name
146,110025,2017-10-28 08:30,2017-10-28 09:12,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
147,110119,2017-10-28 07:33,2017-10-28 08:13,7,20171028,2017-10-28,2017,10,43,28,6,Saturday
148,110119,2017-10-28 07:33,2017-10-28 08:13,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
149,110446,2017-10-28 08:58,2017-10-28 09:09,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
150,110446,2017-10-28 08:58,2017-10-28 09:09,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
151,111349,2017-10-28 14:23,2017-10-28 14:47,14,20171028,2017-10-28,2017,10,43,28,6,Saturday
152,111770,2017-10-28 11:12,2017-10-28 11:54,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
153,111975,2017-10-28 11:19,2017-10-28 11:45,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
154,112479,2017-10-28 13:33,2017-10-28 13:56,13,20171028,2017-10-28,2017,10,43,28,6,Saturday
155,113075,2017-10-28 11:57,2017-10-28 12:06,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
156,113075,2017-10-28 11:57,2017-10-28 12:06,12,20171028,2017-10-28,2017,10,43,28,6,Saturday
157,114394,2017-10-28 23:48,2017-10-28 23:53,23,20171028,2017-10-28,2017,10,43,28,6,Saturday
158,114928,2017-10-28 08:17,2017-10-28 08:24,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
159,115480,2017-10-28 10:50,2017-10-28 11:31,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
160,115480,2017-10-28 10:50,2017-10-28 11:31,11,20171028,2017-10-28,2017,10,43,28,6,Saturday
161,115616,2017-10-28 09:29,2017-10-28 09:36,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
162,115658,2017-10-28 09:05,2017-10-28 09:20,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
163,116306,2017-10-28 09:10,2017-10-28 09:47,9,20171028,2017-10-28,2017,10,43,28,6,Saturday
164,117063,2017-10-28 15:14,2017-10-28 15:17,15,20171028,2017-10-28,2017,10,43,28,6,Saturday
165,117121,2017-10-28 08:31,2017-10-28 08:59,8,20171028,2017-10-28,2017,10,43,28,6,Saturday
166,118000,2017-10-28 10:30,2017-10-28 11:02,10,20171028,2017-10-28,2017,10,43,28,6,Saturday
